order_date_key,order_date,day_of_week,day_of_year,month,quarter,year
D151,2023-05-31,2,151,5,2,2023
D152,2023-06-01,3,152,6,2,2023
D153,2023-06-02,4,153,6,2,2023
D154,2023-06-03,5,154,6,2,2023
D155,2023-06-04,6,155,6,2,2023
D156,2023-06-05,0,156,6,2,2023
D157,2023-06-06,1,157,6,2,2023
D158,2023-06-07,2,158,6,2,2023
D159,2023-06-08,3,159,6,2,2023
D160,2023-06-09,4,160,6,2,2023
D161,2023-06-10,5,161,6,2,2023
D162,2023-06-11,6,162,6,2,2023
D163,2023-06-12,0,163,6,2,2023
D164,2023-06-13,1,164,6,2,2023
D165,2023-06-14,2,165,6,2,2023
D166,2023-06-15,3,166,6,2,2023
D167,2023-06-16,4,167,6,2,2023
D168,2023-06-17,5,168,6,2,2023
D169,2023-06-18,6,169,6,2,2023
D170,2023-06-19,0,170,6,2,2023
D171,2023-06-20,1,171,6,2,2023
D172,2023-06-21,2,172,6,2,2023
D173,2023-06-22,3,173,6,2,2023
D174,2023-06-23,4,174,6,2,2023
D175,2023-06-24,5,175,6,2,2023
D176,2023-06-25,6,176,6,2,2023
D177,2023-06-26,0,177,6,2,2023
D178,2023-06-27,1,178,6,2,2023
D179,2023-06-28,2,179,6,2,2023
D180,2023-06-29,3,180,6,2,2023
D181,2023-06-30,4,181,6,2,2023
D182,2023-07-01,5,182,7,3,2023
D183,2023-07-02,6,183,7,3,2023
D184,2023-07-03,0,184,7,3,2023
D185,2023-07-04,1,185,7,3,2023
D186,2023-07-05,2,186,7,3,2023
D187,2023-07-06,3,187,7,3,2023
D188,2023-07-07,4,188,7,3,2023
D189,2023-07-08,5,189,7,3,2023
D190,2023-07-09,6,190,7,3,2023
D191,2023-07-10,0,191,7,3,2023
D192,2023-07-11,1,192,7,3,2023
D193,2023-07-12,2,193,7,3,2023
D194,2023-07-13,3,194,7,3,2023
D195,2023-07-14,4,195,7,3,2023
D196,2023-07-15,5,196,7,3,2023
D197,2023-07-16,6,197,7,3,2023
D198,2023-07-17,0,198,7,3,2023
D199,2023-07-18,1,199,7,3,2023
D200,2023-07-19,2,200,7,3,2023
D201,2023-07-20,3,201,7,3,2023
D202,2023-07-21,4,202,7,3,2023
D203,2023-07-22,5,203,7,3,2023
D204,2023-07-23,6,204,7,3,2023
D205,2023-07-24,0,205,7,3,2023
D206,2023-07-25,1,206,7,3,2023
D207,2023-07-26,2,207,7,3,2023
D208,2023-07-27,3,208,7,3,2023
D209,2023-07-28,4,209,7,3,2023
D210,2023-07-29,5,210,7,3,2023
D211,2023-07-30,6,211,7,3,2023
D212,2023-07-31,0,212,7,3,2023
D213,2023-08-01,1,213,8,3,2023
D214,2023-08-02,2,214,8,3,2023
D215,2023-08-03,3,215,8,3,2023
D216,2023-08-04,4,216,8,3,2023
D217,2023-08-05,5,217,8,3,2023
D218,2023-08-06,6,218,8,3,2023
D219,2023-08-07,0,219,8,3,2023
D220,2023-08-08,1,220,8,3,2023
D221,2023-08-09,2,221,8,3,2023
D222,2023-08-10,3,222,8,3,2023
D223,2023-08-11,4,223,8,3,2023
D224,2023-08-12,5,224,8,3,2023
D225,2023-08-13,6,225,8,3,2023
D226,2023-08-14,0,226,8,3,2023
D227,2023-08-15,1,227,8,3,2023
D228,2023-08-16,2,228,8,3,2023
D229,2023-08-17,3,229,8,3,2023
D230,2023-08-18,4,230,8,3,2023
D231,2023-08-19,5,231,8,3,2023
D232,2023-08-20,6,232,8,3,2023
D233,2023-08-21,0,233,8,3,2023
D234,2023-08-22,1,234,8,3,2023
D235,2023-08-23,2,235,8,3,2023
D236,2023-08-24,3,236,8,3,2023
D237,2023-08-25,4,237,8,3,2023
D238,2023-08-26,5,238,8,3,2023
D239,2023-08-27,6,239,8,3,2023
D240,2023-08-28,0,240,8,3,2023
D241,2023-08-29,1,241,8,3,2023
D242,2023-08-30,2,242,8,3,2023
D243,2023-08-31,3,243,8,3,2023
D244,2023-09-01,4,244,9,3,2023
D245,2023-09-02,5,245,9,3,2023
D246,2023-09-03,6,246,9,3,2023
D247,2023-09-04,0,247,9,3,2023
D248,2023-09-05,1,248,9,3,2023
D249,2023-09-06,2,249,9,3,2023
D250,2023-09-07,3,250,9,3,2023
